id,jurisdiction,authority,topic_key,topic,change_type,announcement_date,rule_observed_from,effective_from,effective_to,date_basis,status,previous_rule,new_rule,transition_rule,supersedes_event_id,superseded_by_event_id,controlling_source_url,evidence_status,last_verified_at
sk-sinp-capped-sector-final-intake-2026-09-14,Saskatchewan,"Government of Saskatchewan, Saskatchewan Immigrant Nominee Program",sinp-capped-sector-intakes-2026,SINP 2026 capped-sector intake schedule,final_intake_schedule_announced,,2026-09-11,,,"Current SINP Processing Statistics and OASIS registration pages verified September 11, 2026 state that September 14-15 is the final 2026 capped-sector intake and that nomination spaces previously allocated for later intakes were moved into September. Neither current page states when this schedule change was first published or a separate change-effective date, so effective_from is left null.",announced_future_current,The current official page itself confirms that nomination spaces had previously been allocated to later 2026 intakes. This archive does not reconstruct or assign an end date to that earlier schedule because the current official evidence does not state when the revised schedule was first published.,"SINP states that the final capped-sector intake for 2026 will occur on September 14 and 15. On September 14 at 9:30 a.m., Trucking has a 150-position limit and Retail has 175; Accommodation opens at 1:30 p.m. with 50 positions. Food Services opens September 15 at 1:30 p.m. with 175 positions. SINP states that nomination spaces previously allocated for later intakes will be made available in September.","For capped sectors, SINP states that employers can submit only during an active intake window and only for candidates with six months or less remaining on a valid work permit. Positions are first-come, first-served. The SINP OASIS registration page states that capped-sector EPAs submitted outside an active intake period, or for candidates whose work permits expire more than six months from the submission date, will be closed and returned.",,,https://www.saskatchewan.ca/residents/moving-to-saskatchewan/live-in-saskatchewan/by-immigrating/saskatchewan-immigrant-nominee-program/sinp-processing-statistics,OFFICIAL_VERIFIED,2026-09-11
ca-manitoba-workforce-transition-bridge-2026-07-06,Canada / Manitoba,"Immigration, Refugees and Citizenship Canada",manitoba-workforce-transition-bridge,Manitoba Workforce Transition Bridge open work permit public policy,temporary_public_policy_added,,2026-07-06,2026-07-06,2027-12-31,"The signed A25.2 public policy states that it comes into effect on the date it is signed and is dated July 6, 2026. It expires December 31, 2027 unless revoked earlier.",temporary_current,A previous temporary public policy facilitated work permits for prospective provincial nominee candidates. The 2026 Manitoba measure retains a defined cohort previously identified by Manitoba and creates its own current eligibility and exemption conditions.,"Eligible members of the defined Manitoba cohort may receive an open work permit if they meet one of the policy's status or work-authorization situations and provide a Manitoba support letter issued on or before December 31, 2025 confirming MPNP Expression of Interest placement on or before that date, plus a letter of employment from the current employer. The policy provides specified regulatory exemptions including R200(1)(c), and for the restoration cohort additional R182, R199 and R200(3)(e) exemptions.",The measure is limited to the defined Manitoba cohort and is not a general open work permit for all Manitoba workers. IRCC's operational page states the permit may be issued for up to two years and is not for applicants already nominated by a province or territory.,,,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/prospective-pnp-applicants.html,OFFICIAL_VERIFIED,2026-09-13
ca-worker-study-exemption-2023-06-27,Canada,"Immigration, Refugees and Citizenship Canada",work-permit-holder-study-exemption-2023,2023 temporary study-permit exemption for certain work permit holders,temporary_public_policy_added,,2023-06-27,2023-06-27,2026-06-27,"IRCC's signed A25.2 public policy states it came into effect June 27, 2023 and expired June 27, 2026; it was dated May 30, 2023.",expired,"Before this measure, affected workers remained subject to the ordinary study-permit and R188 study-without-permit framework unless another exemption applied.","Eligible foreign nationals could study without a study permit if they held a valid work permit whose associated application was received by IRCC on or before June 7, 2023, or had submitted a work-permit renewal on or before June 7, 2023 and were authorized to work under R186(u). The policy provided exemptions from R188(1)(a)-(d).","The exemption ended when the relevant pending renewal was refused, the work permit expired, or the public policy expired or was revoked, whichever came first. The policy expired June 27, 2026 and is preserved as historical state rather than treated as the same mechanism as the different September 2026 short-study policy.",,,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-without-study-permit.html,OFFICIAL_VERIFIED,2026-09-13
ca-construction-apprentice-study-exemption-2025-02-26,Canada,"Immigration, Refugees and Citizenship Canada",construction-apprentice-study-exemption,Construction-trade apprentices studying without a study permit,temporary_public_policy_added,,2025-02-26,2025-02-26,2027-02-26,"Current IRCC operational page states the public policy starts February 26, 2025 and is open until February 26, 2027.",temporary_current,"The archive does not assert an equivalent construction-apprentice study exemption before February 26, 2025.","Eligible construction-trade apprentices may study without a study permit for apprenticeship study requirements when they have a valid work permit, have a job in an eligible construction occupation, and have an apprenticeship agreement registered with the relevant provincial or territorial apprenticeship and certification authority.","IRCC requires the eligibility conditions to be met when the exemption is requested and when a decision is made. The measure remains open until February 26, 2027; detailed proof and authorization instructions remain controlled by the current IRCC operational pages.",,,https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/special-instructions/apprentice-study-without-study-permit.html,OFFICIAL_VERIFIED,2026-09-13
ca-quebec-pstq-work-permit-public-policy-2026-03-13,Canada / Quebec,"Immigration, Refugees and Citizenship Canada",quebec-pstq-work-permit-public-policy,Quebec PSTQ prospective permanent residence work-permit public policy,temporary_public_policy_added,,2026-03-13,2026-03-13,2026-06-04,"The archived IRCC public policy states that it came into effect March 13, 2026. The June 5, 2026 successor expressly revokes and replaces the policy signed March 12, so this archive bounds the predecessor's active state through June 4, 2026.",superseded,"The archive does not yet reconstruct a directly equivalent Quebec PSTQ work-permit public policy before March 13, 2026.","The policy facilitated employer-specific IMP work permits for defined Quebec temporary workers who had been invited under the PSTQ, submitted a DSP and met one of the policy's valid employer-specific permit, maintained-work-authorization or recently expired-permit situations. The employer and Quebec-work conditions were tied to the worker's existing permit and subsequent application.","The policy was replaced on June 5, 2026. Applications pending on June 5 were expressly brought under the successor policy, which also added spouse/common-law-partner facilitation.",,ca-quebec-pstq-work-permit-public-policy-2026-06-05,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/work-permits-quebec-pr.html,OFFICIAL_VERIFIED,2026-09-13
ca-quebec-pstq-work-permit-public-policy-2026-06-05,Canada / Quebec,"Immigration, Refugees and Citizenship Canada",quebec-pstq-work-permit-public-policy,Quebec PSTQ prospective permanent residence work-permit public policy,temporary_public_policy_replaced,,2026-06-05,2026-06-05,2026-12-31,"The signed A25.2 public policy takes effect upon signature, is dated June 5, 2026 and expires December 31, 2026 unless revoked earlier.",temporary_current,"This policy expressly revokes and replaces the temporary Quebec PSTQ work-permit public policy signed March 12, 2026 and effective March 13, 2026.","The policy facilitates employer-specific work permits for defined Quebec temporary workers invited under the PSTQ who submitted a DSP and meet one of the policy's valid-permit, maintained-work-authorization or recently expired-permit situations. It also facilitates open work permits for qualifying spouses or common-law partners who are accompanying family members and meet the stated temporary-status or restoration conditions.","The policy applies to applications received on or after June 5, 2026 and to applications pending on that date, including those pending under the March 12 predecessor. It contains distinct exemptions for the valid/maintained-status, expired/restoration and spouse cohorts; it is not a general Quebec open-work-permit measure.",ca-quebec-pstq-work-permit-public-policy-2026-03-13,,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/work-permits-qc-pr-2026-2.html,OFFICIAL_VERIFIED,2026-09-13
ca-fmcsp-study-permit-policy-2025-09-18,Canada outside Quebec,"Immigration, Refugees and Citizenship Canada",francophone-minority-communities-student-pilot-study,Francophone Minority Communities Student Pilot study-permit public policy,temporary_public_policy_replaced,,2025-09-18,2025-09-18,2026-06-24,"The archived policy took effect upon signature and is dated September 18, 2025. The June 25, 2026 updated policy expressly revokes and replaces it, so this archive bounds the predecessor's active state through June 24, 2026.",superseded,"The September 18, 2025 policy itself replaced the original FMCSP study-permit public policy signed August 13, 2024; that original policy is not yet separately archived here.","The 2025 FMCSP study public policy facilitated study permits for qualifying French-speaking applicants from specified countries/regions to participating postsecondary DLIs outside Quebec, required primarily French study in a full-time program of at least two years leading to a degree or diploma, and provided related family facilitation. It set annual Part A intake caps of 2,300 for August 26, 2024-August 25, 2025 and 2,970 for August 26, 2025-August 25, 2026.","Pending applications under the original August 2024 policy were to be processed under this September 2025 replacement. The policy was in turn replaced by the June 25, 2026 updated FMCSP study-permit policy.",,ca-fmcsp-study-permit-policy-2026-06-25,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-permit-franco-minority-communities-student-pilot-2025.html,OFFICIAL_VERIFIED,2026-09-13
ca-fmcsp-study-permit-policy-2026-06-25,Canada outside Quebec,"Immigration, Refugees and Citizenship Canada",francophone-minority-communities-student-pilot-study,Updated Francophone Minority Communities Student Pilot study-permit public policy,temporary_public_policy_replaced,,2026-06-25,2026-06-25,,"The updated policy takes effect upon signature and is dated June 25, 2026. Part A expires August 25, 2027; Parts B and C remain until the linked FMCSP permanent-residence/open-work-permit policy expires November 30, 2032, unless revoked earlier.",current_part_specific_expiry,"This policy expressly revokes and replaces the FMCSP study-permit public policy signed September 18, 2025.","The updated FMCSP study-permit policy continues a facilitated study-permit pathway for qualifying French-speaking applicants from specified countries/regions to eligible participating DLIs outside Quebec. Part A requires an FMCSP study-permit application before entry, citizenship within the specified OIF-country group, and an eligible French-taught postsecondary program meeting the policy's duration and credential conditions. The policy also contains family-member facilitation parts.","Part A is capped at 2,970 accepted study-permit applications for August 26, 2025-August 25, 2026 and 2,970 for August 26, 2026-August 25, 2027. Applications received under the prior FMCSP policy between August 26, 2025 and the June 25, 2026 effective date count toward the first of those caps. Different parts have different expiry dates, so no single effective_to date is asserted for the whole policy.",ca-fmcsp-study-permit-policy-2025-09-18,,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/study-permit-franco-minority-communities-student-pilot-2026.html,OFFICIAL_VERIFIED,2026-09-13
ca-fmcsp-pr-policy-2025-09-18,Canada outside Quebec,"Immigration, Refugees and Citizenship Canada",francophone-minority-communities-student-pilot-pr-owp,FMCSP permanent-residence and open-work-permit public policy,temporary_public_policy_replaced,,2025-09-18,2025-09-18,2026-06-24,"The archived policy took effect upon signature and is dated September 18, 2025. The June 25, 2026 updated policy expressly revokes and replaces it. The archived page also prints the impossible calendar date 'November 31, 2031' as its nominal expiry; this archive does not normalize that source typo and instead bounds the historical active state by the verified June 25, 2026 replacement.",superseded,"The September 18, 2025 policy itself replaced an FMCSP permanent-residence policy signed October 3, 2024; that earlier policy is not yet separately archived here.","The 2025 policy facilitated permanent residence for qualifying FMCSP graduates outside Quebec and open work permits for qualifying principal applicants awaiting a PR decision. It also contained facilitation for accompanying family members, including open-work-permit pathways of up to three years in specified circumstances.","Applications received while this policy was in force were governed by its conditions. The policy was replaced by the June 25, 2026 updated FMCSP PR/open-work-permit public policy; this archive preserves the official source's impossible nominal expiry text as a source-quality note rather than silently correcting it.",,ca-fmcsp-pr-owp-policy-2026-06-25,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/pr-francophone-minority-communities-student-pilot-2025.html,OFFICIAL_VERIFIED_WITH_SOURCE_DATE_ANOMALY_NOTED,2026-09-13
ca-fmcsp-pr-owp-policy-2026-06-25,Canada outside Quebec,"Immigration, Refugees and Citizenship Canada",francophone-minority-communities-student-pilot-pr-owp,Updated FMCSP permanent-residence and open-work-permit public policy,temporary_public_policy_replaced,,2026-06-25,2026-06-25,2032-11-30,"The updated public policy takes effect upon signature, is dated June 25, 2026 and expires November 30, 2032 unless revoked earlier.",temporary_current,"This policy expressly revokes and replaces the FMCSP permanent-residence public policy signed September 18, 2025.","The policy creates permanent-residence facilitation for qualifying in-Canada FMCSP graduates outside Quebec and open-work-permit facilitation while a qualifying PR application is pending. Principal applicants must have held an FMCSP study permit and completed the required full-time French-taught program of at least two years leading to a degree or diploma at a participating DLI, together with the policy's status, residence and evidence conditions.","A qualifying principal applicant with valid status or eligible restoration may request an open work permit or renewal for up to three years while the Part 1 PR application is pending, with credential/completion evidence. Accompanying family members may qualify for specified work/study/TRV/status facilitation under Part 5. The policy applies only to applications received from June 25, 2026 through expiry or earlier revocation.",ca-fmcsp-pr-policy-2025-09-18,,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/policies-operational-instructions-agreements/public-policies/pr-francophone-minority-communities-student-pilot-2026.html,OFFICIAL_VERIFIED,2026-09-13
ca-visitor-inland-work-permit-policy-ended-2024-08-28,Canada,"Immigration, Refugees and Citizenship Canada",visitor-inland-work-permit-public-policy,Visitor in-Canada work-permit temporary public policy,temporary_public_policy_ended,2024-08-28,2024-08-28,2024-08-28,,"IRCC's August 28, 2024 notice states the temporary public policy ended effective immediately that day.",historical_termination,"Since August 2020, qualifying visitors in Canada could use the temporary public policy to apply for a work permit from inside Canada without first leaving. Certain former work-permit holders who had changed to visitor status could also request interim work authorization while a new work-permit application was processed.","IRCC ended the visitor in-Canada work-permit temporary public policy effective August 28, 2024. New applicants could no longer rely on that policy to bypass the ordinary restrictions on applying for a work permit from inside Canada.","IRCC states that applications submitted before August 28, 2024 under the temporary public policy continue to be processed under it.",,,https://www.canada.ca/en/immigration-refugees-citizenship/news/notices/ends-tpp-allowing-visitors-apply-work-permits-within-country.html,OFFICIAL_VERIFIED,2026-09-13
on-oinp-redesign-procedure-2026-05-30,Ontario,"Government of Ontario, Ontario Immigrant Nominee Program",oinp-redesign-procedure,OINP redesign procedural framework,regulatory_procedure_change,2026-03-16,2026-03-16,2026-05-30,,"O. Reg. 47/26 was filed March 16, 2026. Section 8(2) makes the specified redesign provisions effective on the later of filing and May 30, 2026; OINP's May 29 update confirms implementation on May 30.",current_foundational_procedure,O. Reg. 421/17 previously contained a fixed list of nomination categories and category-specific expression-of-interest and Express Entry process wording.,"Effective May 30, 2026, O. Reg. 47/26 removed the fixed category provisions and generalized the expression-of-interest and notification-of-interest process for redesigned OINP categories. For job-offer-based pathways, the redesign requires a registered employer and employer-submitted job offer before employment-position approval.",OINP states that applications already received under the existing framework are assessed under the eligibility requirements in place at the time of application.,,,https://www.ontario.ca/laws/regulation/r26047,OFFICIAL_VERIFIED,2026-09-13
on-oinp-workforce-priority-regulatory-replacement-2026-06-25,Ontario,"Government of Ontario, Ontario Immigrant Nominee Program",oinp-workforce-priority-stream,Ontario Workforce Priority stream,streams_replaced,2026-06-26,2026-06-25,2026-06-25,,"OINP's June 26 update states the amendments to O. Reg. 422/17 came into force June 25, 2026. O. Reg. 204/26 was made, filed and published on e-Laws on June 25, 2026.",current_regulatory_foundation,"Before the redesign, OINP operated eight former streams under the prior framework, including employer job offer, graduate and Ontario Express Entry streams.","Effective June 25, 2026, O. Reg. 204/26 removed the former eight-stream structure and created the Ontario Workforce Priority stream, with regulatory categories for TEER 0-3, TEER 4-5 and self-employed physicians and detailed applicant, employer, job-offer, work-experience, language and education criteria in O. Reg. 422/17.",OINP closed the former EOI system to new registrations and said no further invitations would be issued under the former streams. Uninvited former-stream EOIs and associated job offers were withdrawn during the platform update. Applications already submitted after an invitation under a former stream continue to be assessed under the requirements in force when submitted. Employers using Workforce Priority must submit a new job offer and employment-position approval application through the redesigned process.,,,https://www.ontario.ca/laws/regulation/r26204,OFFICIAL_VERIFIED,2026-09-13
on-oinp-workforce-priority-eoi-launch-2026-08-04,Ontario,"Government of Ontario, Ontario Immigrant Nominee Program",oinp-workforce-priority-stream,Ontario Workforce Priority stream,eoi_portal_launched,2026-08-04,2026-08-04,2026-08-04,,"The official OINP August 4, 2026 program update states that the ministry opened the expression-of-interest portal for the Ontario Workforce Priority stream that day.",current_operational,"The Ontario Workforce Priority stream had been created by the June 25 regulatory amendments, but the redesigned expression-of-interest portal was not yet open during the implementation transition.","On August 4, 2026, OINP opened the expression-of-interest portal for the Ontario Workforce Priority stream, making the redesigned stream operational for eligible TEER 0-3, TEER 4-5 and self-employed physician pathways.",Former-stream EOIs that did not result in an invitation were not carried forward as Workforce Priority EOIs. Eligible candidates and employers must use the redesigned stream's current employer/job-offer and EOI workflow.,,,https://www.ontario.ca/page/2026-ontario-immigrant-nominee-program-updates,OFFICIAL_VERIFIED,2026-09-13
